demand_heat,boiler,heat_pump,import
-64.769,50.0,14.769000000000005,-0.0
-67.397,50.0,17.397000000000006,-0.0
-58.512,50.0,8.512,-0.0
-36.653,36.653,0.0,-0.0
-7.256,7.256,0.0,-0.0
-9.884,9.884,0.0,-0.0
-4.0,4.0,0.0,-0.0
-4.628,4.628,0.0,-0.0
-2.628,2.628,0.0,-0.0
0.0,0.0,0.0,-0.0
-44.628,44.628,0.0,-0.0
-84.628,50.0,34.628,-0.0
-81.397,50.0,31.397000000000006,-0.0
-90.653,50.0,40.653000000000006,-0.0
-93.537,50.0,43.537000000000006,-0.0
-77.397,50.0,27.397000000000006,-0.0
-66.512,50.0,16.512,-0.0
-72.512,50.0,22.512,-0.0
